,Name,Description,x,y
100,Westmount Road,"December 1, 1944, 1 Dead.<br><br>Rear of number 11.<br>Source: Woolwich Civil Defence Logs courtesy of Steve Hunnisett.",0.062286,51.451704
101,Spurgeon Street.,"December 4, 1944, 1 Dead. Not shown on war bomb damage map, but inferred from http://www.flyingbombsandrockets.com/V1_summary_se1.html",-0.089822,51.497256
102,Morden Terrace School,"December 12, 1944, 1 Dead.<br><br>Albion Hill (now Coldbath Road). 1 fatal casualty (Ivy Ruler, aged 2) who was staying with the caretaker. 1 serious casualty (Mrs Ashenden - caretaker.) 2  minor casualties",-0.014409,51.469522
103,Glengarry Road,"January 4, 1945, 1 Dead. Airburst caused relatively small impact.",-0.079887,51.456803
104,Kitto Road,"January 6, 1945, 1 Dead",-0.046965,51.467674
105,"Ash Platt Road, Sevenoakes","February 23, 1945, 1 dead.",0.213807,51.290136
106,Carnbrook Road,"March 2, 1945, 1 Dead<br><br>Area known as Chandler's Orchard, 4 to hospital. Damage to property in Broad Walk & Ridgebrook Road",0.037959,51.46386
107,Sparrow's Lane,"March 6, 1945, 1 Dead. (Mr W.N. Brown)<br>Source: Woolwich Civil Defence Logs courtesy of Steve Hunnisett.",0.07478,51.44037
108,Johnson And Phillips Cable Department,"March 9, 1945, 1 Dead<br><br>15 to hospital, 25 to FAP. Large piece (4-5 cwt) of LRR outside 35 Swallowfield Road, also piece of LRR (fuel tank) on roof of 29 Sundorne Road<br><br>Data courtesy of Steve Hunnisett.",0.027069,51.484336
109,"Madan Road, Westerham","March 11, 1945, 1 dead.<br>From 'Doodlebugs and Rockets'<br>Comment from Reg Preston: You know about this one already but my Father witnessed the Westerham V2 strike when he was at work. He told me he just by chance was glancing that way and saw the condensation trail appear followed (later) by the sound of the rocket (sonic boom). All happened very quickly.",0.075499,51.271414
110,Elm Grove,"March 27, 1945, 1 Dead. Final V2 attack. Location estimated from treeline.",0.0934,51.373852
111,Leyspring Road,1 Dead,0.018285,51.567267
112,Goodmayes Park,February 1945<br>At least one person killed<br>http://www.bbc.co.uk/ww2peopleswar/stories/01/a2037601.shtml<br>http://www.bbc.co.uk/ww2peopleswar/stories/80/a2061280.shtml,0.118516,51.562732
113,Crockenhill,"September 10, 1944, 0 Dead<br>Location unknown, close to Field Crouch Farm. Fourth V2 strike.",0.14537,51.382703
114,"Magdalen Laver, Essex","September 10, 1944, 0 dead<br>Location unknown. 'destroyed village hall'.<br>Fifth V2 rocket to hit England.<br>http://www.bbc.co.uk/ww2peopleswar/stories/19/a4073519.shtml",0.183914,51.753496
115,"North Fambridge, Essex","September 10, 1944, 0 dead.<br>Location unknown, but satellite view offers this very suggestive crater.<br>Third V2 strike, after hits in Chiswick and Epping.",0.683416,51.637517
116,"Ranworth, Norfolk","September 26, 1944, 0 dead<br>Location unknown. Hit a 'stubble field', blowing out windows in village.",1.500471,52.67793
117,Surlingham,"September 28, 1944, 0 dead<br>http://www.surlinghamschool.com/category/projects/surlingham-village-project/",1.426195,52.605576
118,Evesham Avenue,"October 1944, 0 Dead. Reader contribution. More details http://tinyurl.com/d466y6",-0.017193,51.594365
119,"Hopton, Suffolk","October 3, 1944, 0 Dead<br>Valley Farm, Hopton. Location unknown",1.716957,52.535477
120,"Great Witchingham, Norfolk","October 3, 1944, 0 dead<br>Location unknown, but this looks likely.",1.105489,52.741716
121,"Beeston St Lawrence, Norfolk","October 3, 1944, 0 Dead<br>Landed in 'forest', location unknown, but this area looks like regrown trees.",1.453178,52.743171
122,"Rockland St Mary, Norfolk","October 4, 1944, 0 dead<br>Landed close to school, with some serious injuries.",1.415048,52.583697
123,Southend foreshore,"October 11, 1944, 0 dead.",0.723048,51.529912
124,"Ingworth, Norfolk","October 12, 1944, 0 dead<br>Near Manor Farm, Ingham, location unknown",1.255574,52.816004
125,"Welborne, Norfolk","October 26, 1944, 0 dead<br>Location unknown.",1.035912,52.642881
126,Knee Hill,"October 30, 1944, 0 Dead.<br><br>Landed in garden of 'the cottage'. <br>Source: Woolwich Civil Defence Logs courtesy of Steve Hunnisett.",0.120442,51.483204
127,Greenland Dock,"October 31, 1944, 0 Dead.",-0.033216,51.494631
128,Neptune Street,"November 14, 1944, 0 Dead.",-0.053612,51.497516
129,Thamesmead,"November 20, 1944, 0 Dead.<br>'Off tripcock point'.<br><br>Source: Woolwich Civil Defence Logs courtesy of Steve Hunnisett.",0.072827,51.495706
130,49-51 Jevington Way,"December 15, 1944, 0 Dead. <br> <br>Location provided by reader Peter Bowles. ""There were fatalities my mother and I lived at No.39 on the corner of Westdean Avenue.""<br><br><br>From reader Michael: ""This V2 went down between 35 and 37 Jevington Way. My Mum lived at 35, and was sleeping in the front bedroom, with her Mother. The bomb fell at the back of the house, and blew them through the front. My Mum was found 100 yards up the road, in only her nightdress, and lying on her mattress. Her Mother - my Grandmother, was nearby, with a piece of wood across her head, and a nail in her head. Miracle nobody was killed, but they lost everything.""",0.026983,51.440239
131,Lennard Road sports ground,"January 2, 1945, 0 Dead. Rough location inferred from http://www.flyingbombsandrockets.com/V1_summary_beckenham.html",-0.036628,51.416676
132,Wishart Road,"January 2, 1945, 0 Dead",0.039536,51.468619
133,Warwick Gardens,"January 6, 1945, 0 Dead.<br><br>From reader Avril Knight-Sweeney: """" I was sitting in the kitchen one evening and Avril was asleep in her cot in the bedroom. Suddenly there was a terrific explosion. I rushed to the bedroom,jumping across the small landing,thinking that the house was falling apart it was rocking so much. After the explosion came the most awful sound I have ever heard. I rushed into the bedroom to find the cot completely covered in shards of glass. The entire window had been blown in despite having tape to help prevent breakage on it. I carefully took the glass off expecting to find Avril severely hurt or even dead. She was completely unharmed and was still fast asleep. I never left Avril's side after she went to bed again."" Mother told me that after the war she was a nervous wreck. Thinking about the incident more recently I have wondered whether I wes asleep or whether I was knocked unconscious by the blast. As a child I was very familiar with Azenby Road, now Warwick Gardens park. There were several other bomb sites there in addition to the V2 one. The railwey line from London to the Kent coast runs alongside the park and the Nazis were trying to hit it.""",-0.076658,51.468933
134,Clapham Common,"January 8, 1945, 0 Dead<br><br>Comment from Trisha Kavanagh: My great grandfather was killed by a V2 rocket while walking down Clapham High Street.  He lived a short while but died of his injuries.  I am not sure of the date but the only rocket hit listed for Clapham at that time shows no deaths.",-0.141191,51.462042
135,Cator Park,"January 9, 1945, 0 Dead. Rough location from http://www.flyingbombsandrockets.com/V1_summary_beckenham.html",-0.037959,51.412812
136,5 Woodlands Park Road,"January 20, 1945, 0 Dead, 8 minor casualties.",0.007435,51.483167
137,Ripon Road,"January 21, 1945, 0 Dead.<br><br>Source: Woolwich Civil Defence Logs courtesy of Steve Hunnisett.",0.067645,51.478406
138,"South Met. Gas Company, River Way","January 21, 1945, 0 Dead.<br><br>10 minor casualties. Rocket fell on allotments.",0.009457,51.496571
139,Hither Green Cemetery,"January 23, 1945, 0 Dead, but lots of bodies.",0.007757,51.436253
140,Charlton House Grounds,"January 25, 1945, 0 Dead.<br><br>1 casualty to Brook Hospital, 6 to FAP. Charlton House seriously damaged. Park 13 reports houses damaged in Canberra, Hornfair, Montcalm and Kashmir Roads. Park 8 reports 300 houses damaged by blast various roads",0.038254,51.479809
141,Rodenhurst Road,"January 26, 1945, 0 Dead",-0.138515,51.451115
142,Sturge Avenue,"February 1945, 0 Dead. <br><br>Reader contribution. More details http://tinyurl.com/d466y6",-0.010922,51.595068
143,Leyton Marsh,"February 1945, 0 Dead.<br><br>Comment from 'Walker': ""I remember the V2 falling on Leyton Marshes distinctly. We lived in Dudlington Road, Hackney, Just a matter of yards away on the other side of Latham's timber yard. My cousin from New Zealand and four of his shipmates from the NZ navy were visiting us and my mum was making dinner when a huge explosion blasted two of our windows in and threw the front door wide open. One of the sailors, in an effort to protect me pushed me under the table, but his aim was bad and I hit my head on the heavy table leg causing a big bump.  Mud from the marshes was caked on a large part of the area. My cousin Charlie ran to the site and found a bright, shiny, still warm dial from the rocket complete with Germanic lettering on it. Thakfully no one was killed""",-0.048811,51.566914
144,Woodford New Road,"February, 1945. 0 Dead. Reader contribution. More details http://tinyurl.com/d466y6",0.006647,51.588925
145,St Nicholas Road,"February 6, 1945, 0 Dead.<br><br>Source: Woolwich Civil Defence Logs courtesy of Steve Hunnisett.",0.100642,51.486554
146,Woolwich Road,"February 8, 1945, 0 Dead.<br><br>Rear of Rose of Denmark P.H., Woolwich Road between Victoria Way and Rathmore Road - rear of Woolwich Rd & Troughton Rd",0.026157,51.486868
147,Avery Hill Road,"February 16, 1945, 0 Dead<br>In field 150 yds West of Fire Force HQ.<br>Spot hit by both a V1 and V2<br><br>Source: Woolwich Civil Defence Logs courtesy of Steve Hunnisett.",0.081121,51.451667
148,Eden Park Avenue,"February 22, 1945, 0 Dead. Rough location taken from http://www.flyingbombsandrockets.com/V1_summary_beckenham.html",-0.02591,51.393094
149,Castle Wood,"March 1, 1945, 0 Dead.<br><br>30 yds from back fence 111/113 Castlewood Drive.<br><br>Source: Woolwich Civil Defence Logs courtesy of Steve Hunnisett.",0.05815,51.465491
150,Deptford Docks,"March 3, 1945, 0 Dead.",-0.028195,51.486621
151,Tranquil Vale,"March 8, 1945, 0 Dead<br><br>134 people were injured ""but by a miracle - if it can be called that - only five people were killed""<br><br>http://www.greenwich-guide.org.uk/march.htm",0.009216,51.466439
152,Tunnel Avenue,"March 9, 1945, 0 Dead<br><br>Some minor casualties. Damage to Gas Works but production unaffected<br><br>Data courtesy of Steve Hunnisett.",0.00706,51.494143
153,Shirley Close,"March 10, 1945, 0 Dead. Rough location inferred from http://www.flyingbombsandrockets.com/V1_summary_beckenham.html",-0.046955,51.395152
154,Royal Blackheath Golf Club,"March 12, 1945, 0 Dead<br><br>300 yds SE of Club House.<br><br>Source: Woolwich Civil Defence Logs courtesy of Steve Hunnisett.",0.059094,51.44371
155,Deptford Creek,"March 17, 1945, 0 Dead.<br><br>Several minor casualties. Rocket fell in creek",-0.017059,51.48165
156,Little Gaddesden,"March 23, 1945, 0 Dead.<br>http://www.bbc.co.uk/ww2peopleswar/stories/37/a3971937.shtml",-0.552825,51.80693
157,Crofton Park Station,"March 23, 1945, 0 Dead. Airburst causing only moderate damage.",-0.036478,51.45506
158,Gomm Road,"March 26, 1945, 0 Dead.",-0.052507,51.495312
159,Ainsley Avenue,"November 15, 1944.<br><br>Source: http://romford.org/wartime/memories/crowlands.htm",0.162585,51.571248
160,Tilbury,"December 4, 1944.<br><br>http://www.thurrock.gov.uk/heritage/content.php?page=factfiles_details&id=37",0.365703,51.453579
161,Palmer Place,"December 31, 1944, 102 people killed?<br><br>(Date based on personal account by reader Andy B.) ""The Palmer Place V2 hit very close indeed to where my father was living - although his address was Morgan Road I think the front door was on Palmer Place itself but he believes the reason why he (and his family) survived is that it hit in some open land but a big bank of soil had been piled up high between where the V2 landed and the road so the blast was deflected upwards. Otherwise he feels sure the building he was in would have been demolished with him in it.""<br><br>Comment from Anita Welsh: My mothers family were killed in Palmer Place, Islington in the New Years Eve V bombing, gather many were in a pub on the street celebrating New Year. I understand that 102 people were killed that night just on this street. I was a 2 yr old fast asleep, and survived, after my fathers brother, then a boy scout dug through the rubble searching for me. I was born there, and never have been back, as I came to live in Canada. Now 70 years of age, would love one day to get back to England to see where I was born, and where my family died.<br><br> <br>A poem dedicated to a survivor of this attack can be found here: http://www.silentcacophony.co.uk/#!Palmer-Place-Bombing:-A-poem-dedicated-the-2-year-old-survivor,-Anita-Welsh/c1rme/1FBC2F65-FA2C-436A-8771-816DA41D3DB1",-0.110335,51.549791
162,"London's Field, Whitstable","January 15, 1945<br>http://www.simplywhitstable.com/waw/wawbomb5.htm",1.035365,51.357171
163,Woodville Avenue,"January 20, 1945. <br><br>Reader comment: ""A V2 landed just in front of my house, Cowslip Road, though most of the houses were rebuilt my neighbour's house still has the scars and where the bomb had presumably been dropped is now a school.""<br><br> <br>Reader comment from ChrisK: ""Regarding Cowslip Road January 20, 1945. It was Woodville Road as earlier discussed in this forum. Here is an account from my mother who was 14 at the time. 'I was 14 at the time and living at 64 Maybank avenue. My mother was three months pregnant. We had stopped using our Anderson shelter because it always flooded. We were inside the Morrison shelter in the front room. Myself, Mother and brother squeezed in. The night had been really bad – freezing and snowing. We had been listening to the radio. The explosion knocked the windows in. I can’t remember the exact time but think is was between 9-10. My mother ran out shortly after the explosion. She was running across the road to my grandparents to check on them. Mr Bennet who was the air raid warden and our neighbor brought her back in. Her feet were bleeding. A lot of people were killed including two children. I think it had the worst fatalities of any V2.""<br><br><br>From Andrew Walker in response to Chris: ""20th January 1945, which was a Saturday, 10.49pm, the 575th V2 rocket recorded by the RAF as landing on the UK in its list of ""Big Ben"" incidents.19 civilians died at the following addresses:<br>55, 57 and 59 Woodville Avenue<br>2, 6, 8, 10 and 22 Oakdale Road<br>2, 4, 6, 8, 10 Rose Avenue<br>There were no deaths in Cowslip Road or Maybank Avenue. The source I am working from does not cover people on leave from the armed forces. It also does not record people who were injured. However, it should include civilians who died later in hospital (with some degree of reliability).<br>I can well believe this was the biggest loss of life to a V2 in Wanstead & Woodford; sadly it was a long way from being th e bigges t loss to any V2.""",0.031146,51.592522
164,Finchley Road/Camden Arts Centre,"March 17, 1945",-0.183605,51.551419
165,Lukin Street,"March 17, 1945",-0.052475,51.513061
166,Primrose Hill,"March 23, 1945",-0.16089,51.538208
167,Whalebone Lane,1945<br><br>Air burst<br>http://www.bbc.co.uk/ww2peopleswar/stories/72/a6360572.shtml,0.007446,51.539763
168,"Biscot Road, Luton","Based on eyewitness report: http://www.bbc.co.uk/ww2peopleswar/stories/83/a8099283.shtml<br><br>From Clive Irving: I just found your V2 site map, and I have something to add to the note on the rocket that landed in Biscot Road, Luton. The striking thing about the map is that this single V2 strike is so isolated from the rest, and must have been a very lucky hit because it had a material affect on the war effort. The V2 hit in mid-morning while I was in the fourth form classroom at Luton Grammar School, which was three miles away. Within an hour we were told that the Commer lorry works was badly damaged. My father worked there. Later that day he told the story of what happened – the worst damage was in the canteen. My father was on the other side of a wall, on the works floor, where there was significant blast damage but no casualties. There were body parts in the trees outside, I don’t know the exact number killed. At this time in 1944 the Commer works was still turning out vehicles for the expeditionary force then fighting its way to Germany. Full production was resumed within a week, but the V2 left a terrifying memory of unheralded death from above. PS My wife Mimi was on the receiving end of both V weapons. On August 2 1944 her home in Troutbeck Road, New Cross, was destroyed by a V1 at 6.31 am. The family were in a shelter in the garden and presumed dead by the rescue workers, but they were all alive. Four people in the house next door died. Then Mimi lost friends in the dreadful V2 strike on the Woolworths in Deptford one Saturday morning – Mimi wrote a piece about this for the Daily Mail some years ago. We've been looking at the available accounts on line prompted by D-Day because on that day we blissfully assumed that the war was over for us. Fat chance.",-0.426654,51.888736
169,"Acle, Norfolk","Near this spot, as described here: http://www.bbc.co.uk/ww2peopleswar/stories/35/a7607135.shtml",1.56141,52.63568
170,Bazely Place,"Comment from reader ""I was on the scene just minutes after the rocket fell ! I also saw the Matron of the Nursing Home in Bazely Street, which was completely destroyed, being dug out - she had been buried for 36 hours ! We also lost a neighbour, Mrs Reeves, in that event when, after visiting Chrisp Street Market, she popped into the pub on the corner of East India Dock Road amd Cotton Street for a glass of stout. I cannot vouch for the accuracy of this but it was said she was found 3 streets away without a stitch of clothing. Being a very prim and proper lady Mrs Reeves would have been mortified to have been found like that.""",-0.011029,51.510919
171,Lower Bedfords Road,"Reader contribution: <br><br>About 30 years ago I dug up a fair bit of corroded aluminium shrapnel from the rear garden of one of the bungalows and was told that the building had been lifted partly out of the ground by the blast, however as it had a concrete raft foundation, it had dropped back down and survived with repairable damage.<br><br>If you look on your map, (having reset it to satellite mode and zoomed in) you can still see what appears to be the crater mark in the field behind the bungalows (look south of Lower Bedfords Road, about ten properties east of Helmsdale Road and slightly to the north of a line extended from the direction of Nevis Close).<br> <br>Comment from Hilary: With my parents, I used to live (1962 - 1981, they moved in 1986) in Collier Row, which is North Romford on the way to Havering.  Very interested to learn about the V2 near Bedfords Park. My Dad was from East Ham and mum from Gidea Park.  Seeing them soon (I'm in Spain) and will raise all this in conversation.  Mum remembers some sort of bomb (probably a ""normal"" one) landing in Romford market and blowing the blacksmith's anvil from the old coaching in, The Golden Lion, a considerable distance!.<br>OK, so the following is not a V2  but I thought you might be interested anyway ...<br>Dad was volunteered at 15 for the AFS and saw the worst of the blitz in the City of London.  Later, in the RAF in Pocklington (Yorkshire),  the airfield was hit by a V1 rocket.  From his memoirs that I compiled:<br>""Apparently a<br>V1 had malfunctioned and had veered off course, finishing off up in Yorkshire.<br>As far as I know it was the only one to reach there. It had come down on the airfield<br>and on the plane the C/O used. I had slept right through this and heard<br>nothing!""<br>(Website of his memoirs coming soon!  Please contact me if you are interested in receiving further details).",0.186365,51.602093
172,Globe Road,,0.195812,51.570135
173,City Road Basin,"Reader Bill Heggie comments: ""I think the strike in City Road Basin, Islington, must be the one described in graphic detail by Susan Woolfit in her book Idle Women (p98). She was moored in a narrowboat opposite at the time.""",-0.097911,51.532282
174,Warwick Court,,-0.114139,51.518534
175,Bow,,-0.021919,51.524666
176,Steventon Road,"Feb 14, 1945, 29 dead.<br><br>Comment from Martin J Lane: Hammersmith Council were kind enough to provide an incident report and some photo's of the damage.<br>My grandparents and 3 of their 4 children were killed, in total 29 killed 37 injured. Interestingly the flats in Cleveley estate were rebuilt to almost orginal. If you google earth you can see the different coloured roof tops of the damaged houses.",-0.243051,51.510238
177,Stepney Green,,-0.042537,51.517206
178,Havering Street,,-0.048191,51.513168
179,Redman's Road,,-0.047357,51.518364
180,Blair Street,"Comment from reader, may have been this strike, but unverified. ""V2 Rocket hit East India Dock Road 07/03/1945 killing my great Uncle who only traveled over from Belfast a few days before.""",-0.005466,51.512959
181,Lea,,-0.009613,51.520093
182,Downham Road,"Comment from Lawrence McNamara: On the map there is a V2 site in Rosemary Gardens (Southgate Road, Islington, London N1), I was born in 1947 in Cleveland Road (just to the north of this site) and remember being told by my parents that there was a massive bomb that fell on the corner of Southgate Road and Downham Road where there were many casulaties.  The devastation was quite large:All the houses for 50 yards along the corner of Cleveland Road and Downham Road down to Southgate Road were obliteratedAll the houses for 50 yards along Southgate Road backing on to Cleveland Road were obliteratedAll the houses for 75 yards along Downham Road to Southgate Road (opposite Cleveland Road)  backing on to what is now Rosemary Gardens were obliteratedThe properties on the other side of the Southgate Road / Downham Road were left standing with very little damageI was told that the blast came from the east and was virtually in the centre of the junction of Downham Road and Southgate Road and that there vehicles in the crater in the road.In the middle of what is now Rosemary Gardens was the Old Lead Mills that was completely intact up until it was demolished in the 1960s, I don't think that this building could have survived a V2 incident if it fell as indicated, also, my dad had a garage about 10 yards from the indicated strike point in the alleyway off Downham Road backing on to Rosemary Gardens that was untouched.This whole area of devastation was a great playground for us the 1950's and 60's and is very clear in my mind even now.Regards,Lawrence McNamara",-0.085756,51.539496
183,London Fields,,-0.057453,51.539322
184,Hermitage Wall,,-0.065703,51.505043
185,Canada Water,,-0.05034,51.495172
186,stewart street,,-0.007617,51.49775
187,Deptford,,-0.028045,51.478764
188,Victoria Way,,0.026479,51.485118
189,Old Park Road,,0.105899,51.484089
190,Archway,"November 5, 1944<br><br>Comment from Marty: ""Re: The Archway (Highgate) V2 Rocket attack. This happened before I was born but the story I was told from my parents and elder siblings was that this bomb fell on a bonfire night in 1944 around 5pm. There is now a block of flats called Bowerman Court which are situated between St. John's Way and Grovedale Road. The bomb landed by a house hosting a young girl's 5th birthday party. Needless to say, they were all wiped out. My Father was home on leave and was inside our house (opposite) with my Mother and my older Brother, then a babe in arms. My Mother had just brought him from the front room to the rear of the house (Kitchen) and laid him in a cot. My father was reading the paper and the next thing he knew was my Mother crying out ""My Baby, My Baby"" and a hissing sound and completed darkness. A young ARP boy was dragging him out over rubble. There were light's set up in the street (Grovedale Rd) and there were bodies covered over. They brought my elder brother out, (the baby) covered in soot. The corner house, which was the end of the terrace and very large, with an airy, was completely demolished and was a bomb ruin until the 70's. My Father had family in Somer's Town (St Pancras) and his brother was coming to Sunday Tea that early evening. He was told by the ARP's that everybody along that stretch of terraced houses had perished. He in turn went home and told my Grandparent's that the whole family was wiped out. It was a miracle that they survived. Day's after they returned to the house to find several of the terraced houses had no front's ,roofs, 1 st floor's or facing wall's but the dado rails were still connected to the few vertical wall's that were left standing.They were free standing. No brick's behind, just joined from one wall to the other at about 6 ft. high. When the bomb landed, the blast blew off our kitchen door and this straddled the cot which held my Brother.He was buried but miraculously unharmed. My Father was reading the Sunday paper at the time and my Mother was standing in front of Him brushing her hair in a mirror over the fireplace. A gas meter had been blown from it's bracket up the hall down the passage passing through the kitchen between my Mum's face and the mirror and embedding itself in the wall next to my father's chair which he was sitting. The glass from the kitchen window had blown in and shard's of glass had embedded themselves in the mirror. How they weren't touched by the glass and gas meter is a miracle.They knew of all this, as they visited the sight in daylight a few day's later and could see the extent of the damage, And those poor rioter's have had it hard, Bless.""<br><br>From Brian Simmons: ""I was a child living in St.Johns Way during the war years (and after) and well remember this particular V2 I was away for the weekend with my parents,visiting my grandmother in Cambridgeshire. When we returned home on the Monday morning we found our house severely damaged but standing; most terribly the rocket had fallen on or close to a party which was being attended by lots of my friends. But for that visit to my Grandma,I would not be here today!""",-0.132501,51.566534
191,Green Lanes,,-0.093706,51.568534
192,Green Lanes 2,,-0.093593,51.566183
193,Hackney Downs,,-0.06079,51.554728
194,Old Ford Road,,-0.031071,51.534097
195,Bishop's Way,,-0.055243,51.532455
196,Maze Hill,,0.009806,51.473805
197,Heathfield Road,,-0.175403,51.44919
198,Waite Davies Road,,0.01074,51.443309
199,Hafton Road,,0.00398,51.43837
200,Tooting Bec Common,,-0.145504,51.431759
201,Osman Close,"January 20, 1945<br><br>Reader contribution",-0.084007,51.577883
202,Tottenham Lane,"November 10, 1944<br><br>Reader contribution",-0.112862,51.585717
203,Albyns Manor,"Reader comment: A V2 did come down close to Albyns Manor (a very large country house)<br>in Stapleford Abbotts, nr Romford (postcode would be something like RM4<br>1RS) doing enough damage to the house that it was demolished as a<br>direct result in the early 1950s.  Only the servants quarters now<br>survive.",0.177525,51.649488
204,Green Street/Neville Road,"January 27, 1945<br><br>""demolished my parents shop & home,I myself lived there at the time,the rocket hit 260 Green Street, Forest Gate,E7"" - John Withers, by email<br><br>Location confirmed from County Borough of West Ham Defence Map.",0.03342,51.538388
205,Parndon Wood,"September 8, 1944<br>Location uncertain. Second V2 to strike England, just minutes after the Chiswick hit.<br><br>From reader Stephen: ""The site is in fact in the woods, there is a pond in the woods, this is in fact the impact site. I have seen wreckage from a v2 at our local museum, its said this wreckage comes from that pond in Pardon Wood.""",0.09186,51.74344
206,Palmer's Green Rail Station,"October 26, 1944.<br><br>Location based on comment by reader Richard Crockett: ""Pictures of the aftermath have appeared in a number of railway-specialist publications. The incident is embedded in my memory because, as a 6-year old, I was living at Enfield a couple of miles away. I was in the bath at the time and the enormous and characteristic double bang certainly sticks in my memory.""",-0.110872,51.617937
207,"Paglesham East End, Essex","September 12, 1944<br>Location unknown<br>http://www.bbc.co.uk/ww2peopleswar/stories/18/a2095418.shtml",0.807281,51.595815
208,Keston,"September 12, 1944<br>Location unknown",0.019612,51.35766
209,Rotherfield,"September 14, 1944<br>Location unknown. First hit in Sussex.",0.225606,51.04393
210,Willingdon,"September 16, 1944<br>Field near Willingdon, location unknown",0.247149,50.798639
211,"Denton, Norfolk","October 4, 1944<br>Location unknown, near Darrow Farm.",1.352906,52.438628
212,"Hoxne, Suffolk","September 25, 1944<br>Location unknown, in a stubble field.",1.209397,52.342025
213,Dalston Lane,"February 14, 1945, 1 dead.<br><br>Impact near Hackney Downs station.  http://www.bbc.co.uk/ww2peopleswar/stories/05/a4174805.shtml<br><br>Reader Tommy Thomas confirms and provides photos. See comments on original article.",-0.062592,51.54875
214,Gilwell Park,Location highly speculative.<br>http://www.bbc.co.uk/ww2peopleswar/stories/05/a4174805.shtml,-0.003771,51.645261
215,Shoreditch Park,V2 site somewhere to eastern end. Former Salisbury Street. http://www.molas.org.uk/projects/annualReviews.asp?aryear=2005&category=17&section=1,-0.086625,51.534904
216,Forest Road,"January 4, 1945<br><br> <br>Comment from John Walker: ""My mother would tell anybody who would listen that the V2 landed on Dalston Library at 4:04 pm on Jan 4, 1945. Because the library was a substantial concrete buildin the blast spread horizontally and demolished houses in every direction. She also said about 200 people were killed, of which 82 were schoolchildren assembled either in or near the library. She frequently mentioned a Sunday School trip for the children, but I'm not sure now how this figures in with the rest of the story. I vividly remember being dug out of the ruins of our house and seeing Woodland Street full of strange vehicles with red crosses on them being driven over piles of roofing slates.. I only recently discovered that these were American ambulances.""<br><br><br>Comment from John Walker: I was living at No 10 at the time, my grandparents lived at No 6. The blast damaged houses for several streets in every direction and as far as I know the area was demolished after WWII and Woodland St no longer exists.",-0.072516,51.543833
217,Kew Gardens,"September 12, 1944<br>Location unknown",-0.306029,51.474754
218,"Mayesbrook Park, Airburst",Mayesbrook Park,0.109177,51.542572
219,"Abbey Road, Enfield",http://www.enfield.gov.uk/448/Bush%20Hill%20Park%20A%20History.htm,-0.072227,51.644142
220,Alfarthing Road,"Suggested by reader: <br>"" I don't think I recall the big bang that must have been a V2 where the Public Library now stands in Allfarthing Lane/Geraldine Road/Melody Road. I can remember people saying it had been a landmine but it cleared a lot of houses, don't know how many died. All the newish buildings there now were part of it.""",-0.182755,51.454181
221,Station Parade,http://www.barking-dagenham.gov.uk/1-reunion/friendfind.cfm?id=2867,0.080075,51.538521
222,"Annesley Close, Brent","<img src=""https://lh5.googleusercontent.com/proxy/-L-jsYlctfOmNuzCw119-XDeG3P3rPnZPnW9rAWX7V9A2i4jUxq1nXuGQ2yRgr0cZxTNS5OYVz0xtMs8cXNvg0QyyrvhoaD2ZFrUnl2ko0c"" height=""200"" width=""auto"" /><br><br>Three aluminium components recovered from the wreckage of this V2 by the father of Londonist commenter Peter Brown.<br><br>http://www.bbc.co.uk/dna/h2g2/A4422593<br><br>Testimony from Peter Brown: ""I was born at 47 Kenwyn Drive. This is rather further from the position of your map point than I had understood from my parents description of the event. I was told that the V2 failed to explode and that if it had exploded then I would never have been born. The story goes that the fright given to my mother set off the contractions and as I was born on 29th January 1945 the impact must have been on the 28th or 29th January.""<br><br> <br>From Graham Hall: Looking at pictures in Brent Archives, some ""new"" council housing was put up in 1947/48 in Aboyne Road, adjacent to the junction with Annesley Close. 3 pairs of semis are on the north west side of Aboyne Road, and two pairs on the south east side of that road. The corner of Wykeham School on the opposite corner now is different to that that existed pre war. Pre war that part of the school was single storey, with a pitched roof to match the connecting two storey block. Post war, that corner part is a two storey flat roof building, although the original two storey main building with its pitched roo f remain s the same externally. This suggests to me that the impact point was actually in Aboyne Road, just south west of the junction with Annersley Close. This would account for the new housing post war and the rebuilding of that part of the school. Other housing in the area shows a common design of roof and wall rendering, all totally different from the 1947/48 housing.<br><br><br>Done some more searching. as a result I can addyhat this Neasden attack was on Thursday 15 March 1945 @ 22:57. The launch was from Batt. 1./485 <br>(Art. Reg. 1./902), Den Haag, <br>Statenkwartier. Apparently there were 5 Dead. In the Big ben series it is #1023. Hope this helps!!",-0.255969,51.562359
223,Sydenham Wells Park,,-0.067731,51.429672
224,Radlet Avenue,,-0.060983,51.434852
225,Mathias Road,,-0.083084,51.551566
226,Railway sidings,,0.013427,51.438196
227,"Earlham Grove, West Ham","March 6, 1945<br><br>Location confirmed from County Borough of West Ham Defence Map.",0.017413,51.547076
228,"Earlham Grove, West Ham","October 30, 1944 (date might be that of second strike on the road...see other pinpoint).<br><br>Location confirmed from County Borough of West Ham Defence Map.",0.013003,51.546895
229,St Mary Cray,1944<br>http://www.bbc.co.uk/ww2peopleswar/stories/69/a2117369.shtml,0.109917,51.39452
